,Material,STPO_Cut_Off,Key,Kolkata_STPO,GUWAHATI_STPO,Ranchi_STPO,Patna_STPO,Cuttack_STPO,Delhi_STPO,Ghaziabad_STPO,Chandigarh_STPO,LUCKNOW_STPO,Jalandhar_STPO,Jaipur_STPO,Chennai_STPO,Coimbatore_STPO,Madurai_STPO,Bangalore_STPO,SECUNDERABAD_STPO,Vijayawada_STPO,Cochin_STPO,Bhiwandi_STPO,AHMEDABAD_STPO,Pune_STPO,Indore_STPO,Nagpur_STPO,RAIPUR_STPO,GW07_STPO
357,S-90001532,M_15th,S-90001532_M_15th,,,,,,,,,,,,,,,,,,,20.0,,,,,,
358,S-90001533,M_15th,S-90001533_M_15th,,,,,,,,,,,,,,,,,,,40.0,,,,,,
359,S-90001593,M_15th,S-90001593_M_15th,,,,,,,,,,,,,,,,,,,2.0,,,,,,
360,S-90001594,M_15th,S-90001594_M_15th,,,,,46.0,,,,,24.0,,,,,,,,,,,,,,,
361,S-90001595,M_15th,S-90001595_M_15th,,,,,,,,,,24.0,,,,,,,,,32.0,,,,,,
362,S-90001599,M_15th,S-90001599_M_15th,,,,,,,,,,,,,4.0,,,,,,,,,,,,
363,S-90001602,M_15th,S-90001602_M_15th,,,20.0,,,,,,60.0,,,,20.0,,,,,,,,,,,,
364,S-90001604,M_15th,S-90001604_M_15th,,,,,,,,,,,,,,,6.0,,,,,,,,,,
365,S-90001611,M_15th,S-90001611_M_15th,,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,
366,S-90001612,M_15th,S-90001612_M_15th,,,,,,,,,,,,12.0,,,,,4.0,,,,,,,,
367,S-90001620,M_15th,S-90001620_M_15th,,,,,,,,,,6.0,,,,,,12.0,,,,,,,,,
368,S-90001621,M_15th,S-90001621_M_15th,,,,,,,,,,6.0,,,,,,,,,,,,,,,
369,S-90001622,M_15th,S-90001622_M_15th,,,,,,,,,,6.0,,,,,,,,,32.0,,,,,,
370,S-90001773,M_15th,S-90001773_M_15th,,,,,,5.0,,,,,,,,,,,,6.0,,,,,1.0,,
371,S-90001774,M_15th,S-90001774_M_15th,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,
372,S-90001777,M_15th,S-90001777_M_15th,15.0,,,,,33.0,20.0,,,,,,4.0,,,,,,,,,,,,
373,S-90001779,M_15th,S-90001779_M_15th,5.0,,,,,,,,,,,,,,,,,,,,,,,,
374,S-90001814,M_15th,S-90001814_M_15th,,,,,,,,,,,,,,,,,,,,,,,,,20.0
375,S-90001836,M_15th,S-90001836_M_15th,,,,,270.0,,,,,,,,,,,,,,,,,,,,
376,S-90001839,M_15th,S-90001839_M_15th,,,,,,,,,,,,,,,,,,,,,,,,20.0,
377,S-90001850,M_15th,S-90001850_M_15th,,,,,,,,,,,12.0,,,,,,,,,,,,,,
378,S-90001872,M_15th,S-90001872_M_15th,,,,,,20.0,,,,,,,,,,,,,,,,,,,
379,S-90001873,M_15th,S-90001873_M_15th,,,,,,20.0,,,,,,,,,,,,,,,,,,,
380,S-90001874,M_15th,S-90001874_M_15th,,,,,,20.0,,,,,,,,,,,,,,,,,,,
381,S-90001964,M_15th,S-90001964_M_15th,,,,,,,,,,48.0,,,,,,,,,,,,,,,
382,S-90001965,M_15th,S-90001965_M_15th,,,,,,,,,,48.0,,,,,,,,,,,,,,,
383,S-90001976,M_15th,S-90001976_M_15th,,,,,,,,,,48.0,,,,,,,,,,,,,,,
384,S-90002022,M_15th,S-90002022_M_15th,,,,,,,,,,,,,20.0,,,,,,,,,,,,20.0
385,S-90002025,M_15th,S-90002025_M_15th,,,,,,100.0,,,,,,,,,,,,,,,,,,,
386,S-90002032,M_15th,S-90002032_M_15th,,,,,,,,,,,,,,,5.0,,,,,,,,,,
387,S-90002041,M_15th,S-90002041_M_15th,,,,,,70.0,25.0,,,,,,,,,,,,,,,,10.0,,
388,S-90002046,M_15th,S-90002046_M_15th,,,,,,,,,,,,,,,,,,,,,,,,,20.0
389,S-90002048,M_15th,S-90002048_M_15th,,,,,,100.0,,,,,,,,,,,,,,,,,,15.0,
390,S-90002065,M_15th,S-90002065_M_15th,,,,,,,20.0,,,,,,,,,,,,,,,,,,
391,S-90002107,M_15th,S-90002107_M_15th,,,,,,,,,20.0,,,,,,,,,,,,,,,,
392,S-90002110,M_15th,S-90002110_M_15th,,,,,,,,,20.0,,,,,,,,,,,,,,,,20.0
393,S-90002178,M_15th,S-90002178_M_15th,,,,,,6.0,,,,,,,12.0,,,,,,,,,,,,
394,S-90002347,M_15th,S-90002347_M_15th,,,,,,,,,150.0,,,,,,,,,,,,,,,,
395,S-90002431,M_15th,S-90002431_M_15th,,,,,,,,,,,,12.0,,,10.0,,,,,,,,,,
396,S-90002432,M_15th,S-90002432_M_15th,,,,,,,,,,,,,,,10.0,,,,,,,,,,
397,S-90002433,M_15th,S-90002433_M_15th,,,,,,48.0,,,,,,,,,,,,,,,,,,,
398,S-90002456,M_15th,S-90002456_M_15th,,,,,,,15.0,,,6.0,,,,,,,,,,,,,,,
399,S-90002460,M_15th,S-90002460_M_15th,4.0,,,,,,,,,,,,,,,,,,,,,,,,
400,S-90002461,M_15th,S-90002461_M_15th,2.0,,,,,,,,,,,,,,,,,,,,,,,,
401,S-90002466,M_15th,S-90002466_M_15th,,,,,,,8.0,,,6.0,,,,,,,,,,,,,,,
402,S-90002467,M_15th,S-90002467_M_15th,,,,,,,4.0,,,,,,,,,,,,,,,,,,
403,S-90002501,M_15th,S-90002501_M_15th,,,,,,,,,216.0,100.0,,,,,,,,,,,,,,,
404,S-90002507,M_15th,S-90002507_M_15th,,,,,,,,,,48.0,,,,,,,,,,,,,,,
405,S-90002508,M_15th,S-90002508_M_15th,,,,,,,,,,48.0,,,,,,,,,,,,,,,
406,S-90002521,M_15th,S-90002521_M_15th,,,,,,,,,,,,,,,,,,4.0,,,,,,,
407,S-90002522,M_15th,S-90002522_M_15th,,,,,,,,,,,,,,,,,,1.0,,,,,,,
